BOND TYPE                ATOMS                    DEL_E (R->TS)            DEL_E (TS->P)            
RY*                      O[3]                     0.70743                  -0.05446                 
RY*                      O[3]                     0.5284                   -0.6161                  
RY*                      O[3]                     0.2955                   0.37645                  
RY*                      O[3]                     -0.00051                 -0.23944                 
RY*                      O[3]                     0.36675                  0.10144                  
RY*                      O[3]                     0.09211                  -0.18484                 
RY*                      O[3]                     -0.18308                 0.51254                  
RY*                      O[3]                     -0.42388                 -0.5117                  
RY*                      O[4]                     -0.16376                 -1.17428                 
RY*                      O[4]                     0.82503                  -0.59634                 
RY*                      O[4]                     0.61018                  -0.10352                 
RY*                      O[4]                     0.4443                   -0.74395                 
RY*                      O[4]                     -2.43588                 -0.57776                 
RY*                      O[4]                     0.5403                   -0.14173                 
RY*                      O[4]                     0.54853                  0.10444                  
RY*                      O[4]                     0.3695                   -0.4572                  
RY*                      O[4]                     0.1366                   0.53535                  
RY*                      O[4]                     -0.15941                 -0.08054                 
RY*                      O[4]                     0.20785                  0.26034                  
RY*                      O[4]                     -0.06679                 -0.02594                 
RY*                      O[4]                     -0.34198                 0.67144                  
RY*                      O[4]                     -0.58278                 -0.3528                  
RY*                      C[8]                     -0.32266                 -1.01538                 
RY*                      C[8]                     0.66613                  -0.43744                 
RY*                      C[8]                     0.45128                  0.05538                  
RY*                      C[8]                     0.2854                   -0.85295                 
RY*                      C[8]                     -2.59478                 -0.68676                 
RY*                      C[8]                     0.6493                   -0.25073                 
RY*                      C[8]                     0.65753                  -0.00456                 
RY*                      C[8]                     0.4785                   -0.5662                  
RY*                      C[8]                     0.2456                   0.42635                  
RY*                      C[8]                     -0.05041                 -0.18954                 
RY*                      C[8]                     0.31685                  0.15134                  
RY*                      C[8]                     0.04221                  -0.13494                 
RY*                      C[8]                     -0.23298                 0.56244                  
RY*                      C[8]                     -0.47378                 -0.4618                  
RY*                      H[13]                    -0.21366                 -1.12438                 
RY*                      H[14]                    0.77513                  -0.54644                 
RY*                      H[15]                    0.56028                  -0.05362                 
BD*                      C[7]- O[2]               0.3944                   -1.39954                 
BD*                      C[7]- C[5]               -2.48578                 -1.23335                 
BD*                      C[7]- C[9]               1.19589                  -0.79732                 
BD*                      C[7]- C[8]               1.20412                  -0.55115                 
BD*                      C[5]- O[1]               1.02509                  -1.11279                 
BD*                      C[5]- O[1]               0.79219                  -0.12024                 
BD*                      C[5]- C[6]               0.49618                  -0.73613                 
BD*                      C[6]- H[10]              0.86344                  -0.39525                 
BD*                      C[6]- H[11]              0.5888                   -0.68153                 
BD*                      C[6]- H[12]              0.31361                  0.01585                  
BD*                      C[9]- O[3]               0.07281                  -1.00839                 
BD*                      C[9]- O[4]               0.33293                  -1.67097                 
BD*                      C[9]- O[4]               1.32172                  -1.09303                 
BD*                      C[8]- H[13]              1.10687                  -0.60021                 
BD*                      C[8]- H[14]              0.94099                  -1.95104                 
BD*                      C[8]- H[15]              -1.93919                 -1.78485                 
