BOND TYPE                ATOMS                    ENERGY                   
BD*                      C[6]- H[11]               0.70687                  
BD*                      C[6]- H[12]               0.69510                  
BD*                      C[9]- O[3]               0.86774                  
BD*                      C[9]- O[4]               0.78105                  
                                                                           
                                                                           
BD*                      C[9]- O[4]               0.40952                  
                                                                           
BD*                      C[8]- H[13]               0.76063                  
BD*                      C[8]- H[14]               0.77874                  
BD*                      C[8]- H[15]               0.73444
